generation,best_fitness,mean_fitness,median_fitness,worst_fitness,fitness_std_dev,max_distance,mean_distance,max_progress,mean_progress,num_crashed,num_reached,num_stagnant,mean_time_alive,mean_time_off_road,mean_efficiency,gene_diversity
0,5.2866807,-517.23193,-10,-3844.1965,1094.0839,1573.3121,243.72278,1323.8406,91.28843,165,0,134,527.06,445.08774,0.15268308,0.57542205
1,2.0979958,-300.42624,-10,-3593.7595,813.8614,1568.916,146.79294,1208.3787,65.45145,178,0,148,451.36,286.6345,0.11318115,0.5798886
2,91.347275,-179.03856,-10,-3857.4116,664.68616,1571.8787,74.25675,896.13434,28.063389,180,0,163,377.97,182.12599,0.10133832,0.5821418
3,26.171892,-161.45747,-10,-3664.4604,588.2978,1573.0057,76.64971,1173.8816,36.073975,183,0,161,343.72,156.81775,0.13934284,0.5900245
4,133.48973,-244.58209,-10,-3803.9006,742.4381,1571.8663,120.576324,1280.4746,44.993637,172,1,152,434.38,177.34366,0.09958118,0.59305257
5,21.95049,-207.15486,-10,-3742.602,700.86456,1572.365,65.38499,916.2027,26.563095,181,0,160,371.965,163.28055,0.12263863,0.59757566
6,33.72339,-230.07458,-10,-3593.1672,740.2465,1567.6119,76.438644,971.3137,31.247631,176,1,159,422.725,174.65785,0.10992567,0.6114072
7,52.95897,-171.9935,-10,-3332.5618,604.2702,1573.2737,76.858765,997.19714,33.020947,182,0,165,381.21,151.7171,0.13665302,0.6178853
8,47.61141,-134.33931,-10,-3563.6294,557.4442,1495.3798,36.14689,725.9657,12.589405,188,0,176,303.67,80.094444,0.079339005,0.6184591
9,50.95976,-215.85768,-10,-3556.4204,715.1618,1342.3024,58.390114,528.073,31.032127,182,0,161,385.99,182.89047,0.12138276,0.6255675
10,58.404263,-114.70195,-10,-2713.6782,438.93143,1122.584,33.58731,759.8916,14.42358,183,0,167,324.845,95.80657,0.10125607,0.62530136
11,60.929237,-175.36752,-10,-3605.435,618.41315,1501.726,56.564804,588.46625,20.89578,177,0,162,379.88,135.35014,0.11514061,0.6265657
12,51.688473,-141.84094,-10,-3723.0051,506.89978,1527.5134,55.96941,1173.1865,22.2734,180,0,157,372.8,184.56627,0.12354715,0.6320934
13,51.309063,-120.96398,-10,-3322.8098,477.49866,1457.6182,45.97076,492.26025,16.562704,181,0,163,365.315,112.36013,0.105380066,0.62793636
14,51.069847,-145.89886,-10,-3835.7896,547.2881,1315.7379,44.0787,651.09766,11.461159,181,0,161,348.525,134.91063,0.11425117,0.627227
15,51.069866,-113.68224,-10,-3330.0698,432.12036,1514.0941,32.14403,672.9758,16.405605,184,0,165,333.875,124.83933,0.14917547,0.6452223
16,52.358498,-115.31853,-10,-3681.837,470.24826,1479.2178,23.550339,300.49286,11.570578,183,0,162,344.285,118.08908,0.17636925,0.6498166
17,49.97523,-63.163433,-10,-3214.7666,317.17407,1115.7489,23.460138,1512.9453,18.605726,192,0,171,265.02,70.228004,0.13626888,0.64143544
18,52.377106,-140.88673,-10,-3571.8208,573.07025,987.7493,26.254288,710.1777,14.798471,181,0,163,380.715,129.15501,0.16074216,0.64281845
19,34.65752,-112.84537,-10,-3755.9414,479.88077,1264.0781,29.019966,354.1869,8.18138,183,0,167,340.64,106.01416,0.102094,0.6429073
20,50.674076,-113.91582,-10,-3203.066,450.87036,1384.4279,36.404255,812.3323,16.762844,184,0,159,338.34,116.54022,0.1503004,0.6542698
21,52.43272,-142.94708,-10,-3541.8936,572.2323,1395.8142,25.173225,649.14087,10.211886,183,0,160,341.685,99.060036,0.11456306,0.6543636
22,50.743374,-127.7944,-10,-2547.4417,453.4379,1562.9224,34.936443,700.82947,13.790715,184,0,160,352.185,106.78579,0.13777171,0.64368546
23,50.830536,-117.64121,-10,-3219.3284,522.7621,872.7836,25.307154,382.05933,9.938655,185,0,163,331.405,97.0184,0.12684777,0.61805445
24,69.111565,-137.54749,-10,-3714.3462,519.06195,1506.1611,39.296947,544.9157,10.803921,183,0,149,350.105,103.225075,0.15269846,0.60028964
25,53.24548,-124.951614,-10,-3358.4663,478.73743,1438.8158,32.288124,348.67102,11.573789,183,0,153,344.24,120.292595,0.15549298,0.6016245
26,53.189987,-105.2374,-10,-3759.538,478.3312,1531.3931,41.982086,546.87573,13.55505,187,0,146,332.62,80.68325,0.17869003,0.6197643
27,52.47934,-110.035324,-10,-3162.699,418.0444,1339.5023,39.622787,1007.4482,24.35832,179,0,123,406.375,130.5822,0.24181664,0.5941578
28,51.554184,-82.84113,-10,-3740.8633,386.27985,1556.8497,44.84004,978.9463,21.447397,182,0,143,365.885,106.84367,0.1996607,0.58194214
29,132.75005,-194.70767,-10,-3561.8591,644.21124,1565.5197,63.05707,636.6477,30.044355,177,1,137,423.9,190.242,0.2127484,0.55539507
30,55.669163,-169.9428,-10,-3396.0378,610.787,1567.1652,58.028492,665.6305,29.11719,174,0,135,442.56,126.65659,0.21935184,0.5561374
31,55.701378,-231.81148,-10,-3760.2332,748.86304,841.715,38.210777,370.39282,19.54757,176,0,127,417.135,211.17413,0.23273127,0.5561312
32,51.814793,-224.50531,-10,-3362.658,686.9969,1519.0511,46.27803,831.96375,25.106873,170,0,133,473.265,166.95844,0.2209897,0.5601402
33,56.200695,-159.76166,-10,-3490.7197,569.981,565.7949,27.545826,388.31262,18.97792,179,0,141,420.875,164.9288,0.26243204,0.54752654
34,5.604194,-190.86377,-10,-3371.447,618.2393,1522.9602,46.695133,968.62024,24.350183,180,0,130,453.725,215.54285,0.2428911,0.5577227
35,53.11366,-137.00697,-10,-3445.9058,523.58026,1430.9856,38.097366,380.27136,16.672867,184,0,129,420.13,144.0273,0.19526534,0.5715978
36,50.81319,-84.4385,-10,-3182.0107,385.05527,836.4175,24.194147,838.29346,15.493318,187,0,132,332.24,110.117424,0.247514,0.56652033
37,50.961037,-145.15512,-10,-3794.084,588.3622,966.64355,36.602562,791.88306,18.64537,186,0,129,347.18,172.26808,0.20281753,0.53892845
38,5.0845637,-78.36412,-10,-2969.1814,351.0762,826.32886,30.334265,731.75146,17.539385,193,0,128,290.29,121.14784,0.19401425,0.5284802
39,28.21049,-79.89234,-10,-2918.24,367.34668,752.96875,25.612892,315.67212,10.561379,193,0,129,284.55,114.86786,0.2092844,0.5162981
40,51.75022,-61.790474,-10,-3493.5615,343.6656,1355.3452,28.128347,438.43164,10.526921,193,0,123,298.455,84.51778,0.21349257,0.47566688
41,53.004124,-141.39354,-10,-3360.2556,557.67645,1478.4203,40.058277,1727.1688,24.371893,185,0,130,352.695,122.28379,0.26415426,0.4780104
42,5.889708,-44.386143,-10,-3384.516,251.35672,520.53156,21.972902,289.98816,10.381853,191,0,134,300.09,71.51752,0.21094084,0.4969338
43,7.556492,-68.14166,-10,-3188.571,365.78604,1202.8069,43.778267,605.052,20.522251,194,1,126,302.285,102.30794,0.19810215,0.4759683
44,15.415059,-91.96462,-10,-3545.358,412.25024,856.49896,38.239716,379.7843,14.8405285,192,0,120,336.915,143.30411,0.20667356,0.48053738
